def_nodeid,def_baseid,def_nodecode,def_nodetype,def_building,def_room,def_latitude,def_longitude,def_status,def_notes
7a59ab4e-d25b-4020-903d-ed3f4ee87302,597f54cb-cb58-4fa0-9625-11b671e6535a,PIT-0021,Pit,,,-14.505581,132.395614,Active,"Easting=219090.97, Northing=8394758.98, PitType=nan"
8cb84bba-7014-4243-bb89-61534f5225e7,597f54cb-cb58-4fa0-9625-11b671e6535a,PIT-0022,Pit,,,-14.504778,132.394683,Active,"Easting=218989.55, Northing=8394846.73, PitType=nan"
e87e701e-b314-42e1-aae9-c7b9c6ecc10d,597f54cb-cb58-4fa0-9625-11b671e6535a,PIT-0023,Pit,,,,,Active,"Easting=nan, Northing=nan, PitType=nan"
b04077aa-b42a-41b9-a1a1-e9cf02263350,597f54cb-cb58-4fa0-9625-11b671e6535a,PIT-0024,Pit,,,-14.504906,132.394561,Active,"Easting=218976.55, Northing=8394832.41, PitType=nan"
3ce4d99e-e162-4925-8d7d-e5186bc478d5,597f54cb-cb58-4fa0-9625-11b671e6535a,PIT-0025,Pit,,,-14.518722,132.383331,Active,"Easting=217782.92, Northing=8393289.13, PitType=nan"
96e9f9a4-206b-4804-93fd-e8d220329bf5,597f54cb-cb58-4fa0-9625-11b671e6535a,PIT-0029,Pit,,,-14.506644,132.395447,Active,"Easting=219074.3, Northing=8394641.1, PitType=nan"
d31e3d49-6580-45e1-84fa-96b1e489dd58,597f54cb-cb58-4fa0-9625-11b671e6535a,PIT-0042,Pit,,,-14.523003,132.399078,Active,"Easting=219486.51, Northing=8392834.62, PitType=nan"
4e01be40-52ad-4c73-8091-171408337db9,597f54cb-cb58-4fa0-9625-11b671e6535a,PIT-0046,Pit,,,-14.508914,132.394242,Active,"Easting=218947.21, Northing=8394388.33, PitType=nan"
0d6414d2-57dd-499e-88c4-e133766209f9,597f54cb-cb58-4fa0-9625-11b671e6535a,PIT-0047,Pit,,,-14.509903,132.393264,Active,"Easting=218842.98, Northing=8394277.64, PitType=nan"
c807d7b4-d72a-4cd1-b703-85315cf6dde5,597f54cb-cb58-4fa0-9625-11b671e6535a,PIT-0049,Pit,,,-14.509675,132.392167,Active,"Easting=218724.39, Northing=8394301.53, PitType=nan"
0d01ba97-e21e-456a-b271-95713eef8564,597f54cb-cb58-4fa0-9625-11b671e6535a,PIT-0051,Pit,,,-14.512092,132.394089,Active,"Easting=218934.72, Northing=8394036.34, PitType=nan"
a1ccc10e-573f-42e4-a7ea-0fd02e4984b3,597f54cb-cb58-4fa0-9625-11b671e6535a,PIT-0053,Pit,,,-14.514786,132.395217,Active,"Easting=219059.77, Northing=8393739.5, PitType=nan"
91cec724-550e-406a-9fe2-bdc1cf2bdb00,597f54cb-cb58-4fa0-9625-11b671e6535a,PIT-0054,Pit,,,-14.515667,132.395675,Active,"Easting=219110.27, Northing=8393642.53, PitType=nan"
f98e28ff-f298-47fc-b1de-1b7c1a698f18,597f54cb-cb58-4fa0-9625-11b671e6535a,PIT-0055,Pit,,,-14.516822,132.396653,Active,"Easting=219217.2, Northing=8393515.88, PitType=nan"
cf734a0c-b255-405a-b599-25d7d4afdefe,597f54cb-cb58-4fa0-9625-11b671e6535a,PIT-0057,Pit,,,-14.517797,132.397644,Active,"Easting=219325.3, Northing=8393409.16, PitType=nan"
8f8e2109-8208-4c88-a705-63ba56850a58,597f54cb-cb58-4fa0-9625-11b671e6535a,PIT-0064,Pit,,,-14.505431,132.395186,Active,"Easting=219044.62, Northing=8394775.06, PitType=nan"
a20d7dfb-f239-4a81-9926-5e2aeb49841f,597f54cb-cb58-4fa0-9625-11b671e6535a,PIT-0070,Pit,,,,,Active,"Easting=nan, Northing=nan, PitType=nan"
41c1f9b0-a95f-4d6d-bf56-02fb22d5e185,597f54cb-cb58-4fa0-9625-11b671e6535a,PIT-0072,Pit,,,-14.532553,132.399186,Active,"Easting=219521.0, Northing=8392698.0, PitType=nan"
2861d1c1-0d0e-4111-ac89-a62c46be060b,597f54cb-cb58-4fa0-9625-11b671e6535a,PIT-0074,Pit,,,-14.524803,132.396089,Active,"Easting=219166.45, Northing=8392631.68, PitType=nan"
c1a44153-2309-470a-9d0d-a5adea095219,597f54cb-cb58-4fa0-9625-11b671e6535a,PIT-0075,Pit,,,-14.524753,132.396683,Active,"Easting=219230.45, Northing=8392637.95, PitType=nan"
857ba0cb-da5d-48c5-8671-d4a812a7bf95,597f54cb-cb58-4fa0-9625-11b671e6535a,PIT-0077,Pit,,,,,Active,"Easting=nan, Northing=nan, PitType=COD"
fa7f97d1-771f-4743-8d69-f55d006d6a37,597f54cb-cb58-4fa0-9625-11b671e6535a,PIT-0078,Pit,,,-14.524417,132.397858,Active,"Easting=219444.58, Northing=9173631.69, PitType=nan"
af6f682e-0620-4e69-b75e-e057a89a7f2d,597f54cb-cb58-4fa0-9625-11b671e6535a,PIT-0079,Pit,,,-14.524642,132.398239,Active,"Easting=219598.09, Northing=8392652.18, PitType=BE (FUTURE)"
8f3879d2-9f12-4ec5-afd6-9b3269219db3,597f54cb-cb58-4fa0-9625-11b671e6535a,PIT-0082,Pit,,,-14.525064,132.398392,Active,"Easting=219502.93, Northing=9173593.22, PitType=nan"
b141fc4d-73b5-4630-9b6c-307459f311c5,597f54cb-cb58-4fa0-9625-11b671e6535a,PIT-0083,Pit,,,-14.525014,132.398467,Active,"Easting=219510.96, Northing=9173596.19, PitType=nan"
8da0e57c-ee5e-4952-9c0a-10a4a87aab96,597f54cb-cb58-4fa0-9625-11b671e6535a,PIT-0085,Pit,,,-14.525631,132.398347,Active,"Easting=219498.85, Northing=9173559.54, PitType=nan"
c0577e5f-e35d-4573-afd7-1f40e008787a,597f54cb-cb58-4fa0-9625-11b671e6535a,PIT-0086,Pit,,,-14.525681,132.397781,Active,"Easting=219437.78, Northing=9173556.57, PitType=nan"
0d5afbb7-3b17-4f90-87d6-682de2c32ca2,597f54cb-cb58-4fa0-9625-11b671e6535a,PIT-0087,Pit,,,-14.526011,132.397658,Active,"Easting=219425.02, Northing=9173536.93, PitType=nan"
aec91623-2eff-44c6-b3d2-99803a2b3fc6,597f54cb-cb58-4fa0-9625-11b671e6535a,PIT-0090,Pit,,,-14.532528,132.399217,Active,"Easting=219601.36, Northing=9173149.6, PitType=nan"
a2b6efca-6f91-4538-993b-b5a309faf5b0,597f54cb-cb58-4fa0-9625-11b671e6535a,PIT-0091,Pit,,,-14.533786,132.402878,Active,"Easting=219997.9, Northing=9173074.79, PitType=nan"
4b4c90a4-082d-4b9e-84ea-f990e2073d85,597f54cb-cb58-4fa0-9625-11b671e6535a,PIT-0092,Pit,,,-14.533778,132.402847,Active,"Easting=219994.59, Northing=9173075.28, PitType=nan"
9383fa1d-6913-4b5d-a80b-ffb739377138,597f54cb-cb58-4fa0-9625-11b671e6535a,PIT-0093,Pit,,,,,Active,"Easting=nan, Northing=nan, PitType=nan"
6dc818f6-dfe9-4b3a-8fc5-b21bde6a745f,597f54cb-cb58-4fa0-9625-11b671e6535a,PIT-0096,Pit,,,-14.527692,132.396806,Active,"Easting=219335.14, Northing=9173437.06, PitType=nan"
71532586-98d1-4a51-aa99-92da75dec3c4,597f54cb-cb58-4fa0-9625-11b671e6535a,PIT-0099,Pit,,,,,Active,"Easting=nan, Northing=nan, PitType=nan"
9159fbfc-b859-420c-9d17-2f51b913b2cd,597f54cb-cb58-4fa0-9625-11b671e6535a,PIT-0100,Pit,,,-14.532978,132.402983,Active,"Easting=220008.26, Northing=9173122.83, PitType=nan"
3eb0ff5e-bfa2-4e82-8243-a94158a1df39,597f54cb-cb58-4fa0-9625-11b671e6535a,PIT-0101,Pit,,,,,Active,"Easting=nan, Northing=nan, PitType=nan"
46995a46-cce9-41e1-be2d-174288a6c142,597f54cb-cb58-4fa0-9625-11b671e6535a,PIT-0106,Pit,,,-14.532544,132.3992,Active,"Easting=219599.58, Northing=9173148.61, PitType=nan"
b7d60562-ab5e-4102-93f7-8230d58768f1,597f54cb-cb58-4fa0-9625-11b671e6535a,PIT-0107,Pit,,,-14.519203,132.381683,Active,"Easting=217692.95, Northing=9173941.68, PitType=nan"
21a1cadf-f667-4a1a-af14-4e5b2cac0954,597f54cb-cb58-4fa0-9625-11b671e6535a,PIT-0108,Pit,,,-14.533067,132.401689,Active,"Easting=219868.73, Northing=9173117.56, PitType=nan"
531d2083-4107-4746-905a-3362cf0f9b1b,597f54cb-cb58-4fa0-9625-11b671e6535a,PIT-0109,Pit,,,-14.532844,132.402528,Active,"Easting=219958.95, Northing=9173130.76, PitType=nan"
44508568-2c04-48a6-8752-7b2a2e2f6ae0,597f54cb-cb58-4fa0-9625-11b671e6535a,PIT-0622,Pit,,,-14.520081,132.399794,Active,"Easting=219647.98, Northing=9173889.37, PitType=nan"
e90de636-c232-49b5-92a1-5d7520f91619,597f54cb-cb58-4fa0-9625-11b671e6535a,PIT-0642,Pit,,,-14.509975,132.393569,Active,"Easting=218963.63, Northing=9174489.96, PitType=nan"
172c3249-a0ac-42ee-8951-ecfb46e277f1,597f54cb-cb58-4fa0-9625-11b671e6535a,PIT-0643,Pit,,,-14.511025,132.393233,Active,"Easting=218928.7, Northing=9174427.56, PitType=nan"
7ddeeea1-9759-45ce-98b2-cc662c3f32be,597f54cb-cb58-4fa0-9625-11b671e6535a,PIT-0644,Pit,,,-14.513256,132.3947,Active,"Easting=219089.75, Northing=9174295.0, PitType=nan"
4b9b6644-6226-4eaf-943c-54c1ef672447,597f54cb-cb58-4fa0-9625-11b671e6535a,PIT-0659,Pit,,,-14.525181,132.393219,Active,"Easting=218945.09, Northing=9173586.33, PitType=nan"
295fe379-f9c5-418c-87c6-c12eef26b64a,597f54cb-cb58-4fa0-9625-11b671e6535a,PIT-0661,Pit,,,-14.523325,132.393233,Active,"Easting=218944.24, Northing=9173696.6, PitType=nan"
76ca1756-dd57-4358-9988-117bce0377a3,597f54cb-cb58-4fa0-9625-11b671e6535a,PIT-0662,Pit,,,-14.523208,132.391358,Active,"Easting=218741.81, Northing=9173703.55, PitType=nan"
15c26042-7043-4968-814a-ff43115a1b3c,597f54cb-cb58-4fa0-9625-11b671e6535a,PIT-0664,Pit,,,-14.5232,132.391419,Active,"Easting=218748.4, Northing=9173704.05, PitType=YES"
d58749b9-a9ed-4ce3-912b-7c898466e059,597f54cb-cb58-4fa0-9625-11b671e6535a,PIT-0667,Pit,,,-14.529883,132.389603,Active,"Easting=218560.87, Northing=9173306.85, PitType=nan"
fc97c300-cd7f-410f-bbbb-9bb9498cc497,597f54cb-cb58-4fa0-9625-11b671e6535a,PIT-0668,Pit,,,,,Active,"Easting=nan, Northing=nan, PitType=nan"
1f6e26c2-65bb-4056-8bf9-19cda77ad194,597f54cb-cb58-4fa0-9625-11b671e6535a,PIT-0669,Pit,,,,,Active,"Easting=nan, Northing=nan, PitType=nan"
7ad653cc-81e8-4c77-8c69-5eb6a3157495,597f54cb-cb58-4fa0-9625-11b671e6535a,PIT-0670,Pit,,,,,Active,"Easting=nan, Northing=nan, PitType=nan"
534d75dd-0ee5-4c48-a0cc-f7fbf7c219d9,597f54cb-cb58-4fa0-9625-11b671e6535a,PIT-0696,Pit,,,-14.518992,132.383194,Active,"Easting=217855.71, Northing=9173954.21, PitType=nan"
230dbeb6-1152-4aba-9b1a-1dc2958d71d2,597f54cb-cb58-4fa0-9625-11b671e6535a,PIT-0699,Pit,,,,,Active,"Easting=nan, Northing=nan, PitType=nan"
6fd0d0fd-6c56-4230-aeaa-6b9ed9ac5047,597f54cb-cb58-4fa0-9625-11b671e6535a,PIT-0725,Pit,,,,,Active,"Easting=nan, Northing=nan, PitType=nan"
268606a6-d7ce-4d32-9241-e9b9f9235fa5,597f54cb-cb58-4fa0-9625-11b671e6535a,PIT-0729,Pit,,,-14.519256,132.382889,Active,"Easting=217823.08, Northing=9173938.53, PitType=nan"
ee9abf6b-68a4-47ec-a00e-c745de50eaea,597f54cb-cb58-4fa0-9625-11b671e6535a,PIT-0730,Pit,,,,,Active,"Easting=nan, Northing=nan, PitType=nan"
45c5c90e-4e1a-4a48-8434-04fb39d81d3e,597f54cb-cb58-4fa0-9625-11b671e6535a,PIT-0736,Pit,,,-14.507428,132.395036,Active,"Easting=219118.66, Northing=9174641.31, PitType=nan"
083d1d01-d42d-474a-8140-02fd536be6e1,597f54cb-cb58-4fa0-9625-11b671e6535a,PIT-0755,Pit,,,-14.524497,132.3938,Active,"Easting=219006.86, Northing=9173626.93, PitType=nan"
2881b668-eb18-49d6-aff5-f81e9e54e421,597f54cb-cb58-4fa0-9625-11b671e6535a,PIT-0797,Pit,,,-14.5108,132.393494,Active,"Easting=218956.58, Northing=9174440.93, PitType=nan"
29adae2a-e324-4cfd-aab9-d0ade2ef51ec,597f54cb-cb58-4fa0-9625-11b671e6535a,PIT-0839,Pit,,,-14.510411,132.392822,Active,"Easting=218883.57, Northing=9174464.05, PitType=nan"
86b77e37-a2ac-4096-92eb-cafa5a06d983,597f54cb-cb58-4fa0-9625-11b671e6535a,PIT-0852,Pit,,,-14.524608,132.398742,Active,"Easting=219540.12, Northing=9173620.29, PitType=nan"
c656a624-560e-4c83-8b8b-31f96ffc0e8d,597f54cb-cb58-4fa0-9625-11b671e6535a,PIT-0857,Pit,,,-14.524617,132.398758,Active,"Easting=219541.93, Northing=9173619.8, PitType=nan"
7ca49282-debb-4b22-ac87-035826ff2e7e,597f54cb-cb58-4fa0-9625-11b671e6535a,PIT-0864,Pit,,,-14.530881,132.397461,Active,"Easting=219409.89, Northing=9173247.52, PitType=nan"
676e4614-f845-4d06-ac90-83ebc6e2f66f,597f54cb-cb58-4fa0-9625-11b671e6535a,PIT-0865,Pit,,,-14.531525,132.398072,Active,"Easting=219476.63, Northing=9173209.21, PitType=nan"
9aa01b2c-41f7-4f2c-8aa4-461fcd95f4f1,597f54cb-cb58-4fa0-9625-11b671e6535a,PIT-0866,Pit,,,-14.526025,132.390611,Active,"Easting=218664.77, Northing=9173536.16, PitType=nan"
0403e764-a865-422b-b703-5101c2e4b5e8,597f54cb-cb58-4fa0-9625-11b671e6535a,PIT-0877,Pit,,,-14.517881,132.384339,Active,"Easting=217977.77, Northing=9174020.23, PitType=nan"
0297e31c-9ffb-4243-80c6-209f77fb67eb,597f54cb-cb58-4fa0-9625-11b671e6535a,PIT-0878,Pit,,,-14.518322,132.383775,Active,"Easting=217917.5, Northing=9173993.99, PitType=nan"
9abd9803-3983-493a-ab40-0465711319ea,597f54cb-cb58-4fa0-9625-11b671e6535a,PIT-0879,Pit,,,-14.518711,132.383317,Active,"Easting=217868.54, Northing=9173970.88, PitType=nan"
ab84af0c-ed8d-40df-b740-4381216c221e,597f54cb-cb58-4fa0-9625-11b671e6535a,PIT-0880,Pit,,,-14.519211,132.382903,Active,"Easting=217824.52, Northing=9173941.17, PitType=nan"
3c1c58b6-e919-4613-bd4a-d9acd13c5619,597f54cb-cb58-4fa0-9625-11b671e6535a,PIT-0881,Pit,,,,,Active,"Easting=nan, Northing=nan, PitType=nan"
5dcd08d9-d163-487e-9ba3-043bccf0937c,597f54cb-cb58-4fa0-9625-11b671e6535a,PIT-0911,Pit,,,-14.52455,132.393233,Active,"Easting=218945.79, Northing=9173623.8, PitType=YES"
9b91bcc3-baa9-4bde-a660-166febcb5438,597f54cb-cb58-4fa0-9625-11b671e6535a,PIT-0914,Pit,,,-14.526794,132.393356,Active,"Easting=218961.82, Northing=9173490.41, PitType=nan"
f7e64cdc-aa71-4e69-91d7-1802fa175984,597f54cb-cb58-4fa0-9625-11b671e6535a,PIT-0913,Pit,,,,,Active,"Easting=nan, Northing=nan, PitType=nan"
cc6c5243-107f-46a1-bb35-a4dc5f1ac15e,597f54cb-cb58-4fa0-9625-11b671e6535a,PIT-0915,Pit,,,-14.522842,132.390075,Active,"Easting=218602.9, Northing=9173725.35, PitType=nan"
1f331808-2f43-4a12-8c66-6f1b0db60f21,597f54cb-cb58-4fa0-9625-11b671e6535a,PIT-0916,Pit,,,-14.524581,132.391525,Active,"Easting=218761.53, Northing=9173622.0, PitType=nan"
0df53cc1-df96-4707-9da1-403d43a082c2,597f54cb-cb58-4fa0-9625-11b671e6535a,PIT-0919,Pit,,,-14.525875,132.389389,Active,"Easting=218532.72, Northing=9173545.08, PitType=nan"
787a5519-df78-4254-b242-2e740271f816,597f54cb-cb58-4fa0-9625-11b671e6535a,PIT-0920,Pit,,,-14.525853,132.389542,Active,"Easting=218549.17, Northing=9173546.4, PitType=nan"
4f751609-eb71-42e4-8532-480276f78152,597f54cb-cb58-4fa0-9625-11b671e6535a,PIT-0921,Pit,,,-14.527561,132.390183,Active,"Easting=218620.56, Northing=9173444.87, PitType=nan"
8e95b356-fbf7-4378-9446-a853b020df91,597f54cb-cb58-4fa0-9625-11b671e6535a,PIT-0922,Pit,,,-14.528467,132.3891,Active,"Easting=218504.84, Northing=9173391.05, PitType=nan"
7fdfbbd4-8022-475b-8a5a-341be07827a7,597f54cb-cb58-4fa0-9625-11b671e6535a,PIT-0923,Pit,,,-14.528825,132.391783,Active,"Easting=218794.77, Northing=9173369.74, PitType=nan"
33b023e2-2d89-4afd-9e3c-98ba76c45dd2,597f54cb-cb58-4fa0-9625-11b671e6535a,PIT-0924,Pit,,,-14.529906,132.389694,Active,"Easting=218570.79, Northing=9173305.53, PitType=nan"
ad9bdfce-9117-4047-915c-87280043c1d6,597f54cb-cb58-4fa0-9625-11b671e6535a,PIT-0926,Pit,,,-14.531281,132.391694,Active,"Easting=218788.29, Northing=9173223.79, PitType=nan"
57bcb612-2aec-45bf-a0b7-dc29e60f4e22,597f54cb-cb58-4fa0-9625-11b671e6535a,PIT-0927,Pit,,,-14.530644,132.393356,Active,"Easting=218966.69, Northing=9173261.59, PitType=nan"
b04e5029-ab66-415e-bb26-3236b535f2d4,597f54cb-cb58-4fa0-9625-11b671e6535a,PIT-0928,Pit,,,-14.528444,132.393586,Active,"Easting=218988.77, Northing=9173392.34, PitType=nan"
132631f8-1e5b-4d05-9879-f83b46d629dd,597f54cb-cb58-4fa0-9625-11b671e6535a,PIT-0949,Pit,,,-14.531975,132.398575,Active,"Easting=219531.44, Northing=9173182.46, PitType=nan"
4ca1e743-68b5-4ef2-921c-4d18b749d652,597f54cb-cb58-4fa0-9625-11b671e6535a,PIT-0950,Pit,,,-14.533061,132.400817,Active,"Easting=219774.63, Northing=9173117.89, PitType=nan"
78f1ad25-8103-4122-9900-dfbeb1354bad,597f54cb-cb58-4fa0-9625-11b671e6535a,PIT-0988,Pit,,,-14.520672,132.394378,Active,"Easting=219064.36, Northing=9173854.25, PitType=nan"
4eafdba4-9224-4037-b686-c26e4597a582,597f54cb-cb58-4fa0-9625-11b671e6535a,PIT-0995,Pit,,,-14.520894,132.392625,Active,"Easting=218875.54, Northing=9173841.06, PitType=nan"
460b8948-fdf8-4f75-9040-49d088386116,597f54cb-cb58-4fa0-9625-11b671e6535a,PIT-0996,Pit,,,-14.520942,132.392594,Active,"Easting=218872.3, Northing=9173838.25, PitType=nan"
e68e5bc1-46e1-4977-88d2-b6ce444091d3,597f54cb-cb58-4fa0-9625-11b671e6535a,PIT-1000,Pit,,,-14.522403,132.397264,Active,"Easting=219377.91, Northing=9173751.38, PitType=nan"
6e6ce911-640f-4ee7-8132-0c00e3548975,597f54cb-cb58-4fa0-9625-11b671e6535a,PIT-1016,Pit,,,-14.524575,132.399064,Active,"Easting=219574.84, Northing=9173622.27, PitType=nan"
157f017c-2117-435b-8e9c-9d69b7b673a7,597f54cb-cb58-4fa0-9625-11b671e6535a,PIT-1017,Pit,,,-14.524633,132.398453,Active,"Easting=219508.98, Northing=9173618.81, PitType=nan"
0ed343e4-5624-477b-8217-a0e7d5be82b8,597f54cb-cb58-4fa0-9625-11b671e6535a,PIT-1018,Pit,,,-14.525072,132.398497,Active,"Easting=219514.33, Northing=9173592.72, PitType=nan"
8618c85b-e4bf-424f-a01b-31560c000b25,597f54cb-cb58-4fa0-9625-11b671e6535a,PIT-1019,Pit,,,-14.525689,132.398422,Active,"Easting=219507.02, Northing=9173556.07, PitType=nan"
d54f5039-30df-4ffd-911b-a987c2e2c24b,597f54cb-cb58-4fa0-9625-11b671e6535a,PIT-1027,Pit,,,-14.519233,132.382631,Active,"Easting=217795.18, Northing=9173939.85, PitType=nan"
154b238f-136a-424b-9764-04534d5d1739,597f54cb-cb58-4fa0-9625-11b671e6535a,PIT-1028,Pit,,,,,Active,"Easting=nan, Northing=nan, PitType=nan"
296df324-2f95-49a4-84e2-63a8111d9411,597f54cb-cb58-4fa0-9625-11b671e6535a,PIT-1029,Pit,,,-14.519214,132.382981,Active,"Easting=217832.92, Northing=9173941.01, PitType=nan"
62d72fe5-4c57-4cbe-968a-8479764a93a0,597f54cb-cb58-4fa0-9625-11b671e6535a,PIT-1030,Pit,,,,,Active,"Easting=nan, Northing=nan, PitType=nan"
c2bd0e01-57cf-40c0-bf08-cb1990dc366a,597f54cb-cb58-4fa0-9625-11b671e6535a,PIT-1031,Pit,,,-14.518061,132.384108,Active,"Easting=217953.13, Northing=9174009.5, PitType=nan"
d9eaa912-071e-4919-b4ae-5635009a3085,597f54cb-cb58-4fa0-9625-11b671e6535a,PIT-1032,Pit,,,-14.517675,132.38475,Active,"Easting=218021.86, Northing=9174032.45, PitType=nan"
